Numéro;Nom;Types 1 ;Types 2 ;Evolution ;Niveau;Pv;Attaque;Defense;Sp. Atk;Sp. Def;Speed
68;Mackogneur;Combat;;;;90;130;80;65;85;55
69;Chétiflor;Plante;Poison;Boustiflor;21;50;75;35;70;30;40
70;Boustiflor;Plante;Poison;Empiflor;36;65;90;50;85;45;55
71;Empiflor;Plante;Poison;;;80;105;65;100;70;70
72;Tentacool;Eau;Poison;Tentacruel;30;40;40;35;50;100;70
73;Tentacruel;Eau;Poison;;;80;70;65;80;120;100
74;Racaillou;Roche;Sol;Gravalanch;25;40;80;100;30;30;20
75;Gravalanch;Roche;Sol;Grolem;36;55;95;115;45;45;35
76;Grolem;Roche;Sol;;;80;120;130;55;65;45
77;Ponyta;Feu ;;Galopa;40;50;85;55;65;65;90
78;Galopa;Feu ;;;;65;100;70;80;80;105
79;Ramoloss;Eau;Psy;Flagadoss;37;90;65;65;40;40;15
80;Flagadoss;Eau;Psy;;;95;75;110;100;80;30
;Magnéti;Electrick;Acier;Magnéton;30;25;35;70;95;55;45
82;Magnéton;Electrick;Acier;;;50;60;95;120;70;70
83;Canarticho;Normal;Vol;;;52;90;55;58;62;60
84;Doduo;Normal;Vol;Dodrio;31;35;85;45;35;35;75
85;Dodrio;Normal;Vol;;;60;110;70;60;60;110
86;Otaria;Eau;;Lamantine;34;65;45;55;45;70;45
87;Lamantine;Eau;Glace;;;90;70;80;70;95;70
88;Tadmorv;Poison;;Grotadmorv;38;80;80;50;40;50;25
89;Grotadmorv;Poison;;;;105;105;75;65;100;50
90;Kokiyas;Eau;;Crustabri;36;30;65;100;45;25;40
91;Crustabri;Eau;Glace;;;50;95;180;85;45;70
92;Fantominus;Spectre;Poison ;Spectrum;25;30;35;30;100;35;80
93;Spectrum;Spectre;Poison;Ectoplasma;36;45;50;45;115;55;95
94;Ectoplasma;Spectre;Poison;;;60;65;60;130;75;110
95;Onix;Roche;Sol;;;35;45;160;30;45;70
96;Soporifik;Psy;;Hypnomade;26;60;48;45;43;90;42
97;Hypnomade;Psy;;;;85;73;70;73;115;67
98;Krabby;Eau;;Krabboss;28;30;105;90;25;25;50
99;Krabboss;Eau;;;;55;130;115;50;50;75
100;Voltorbe;Electrick;;Électrode;30;40;30;50;55;55;100
101;Électrode;Electrick;;;;60;50;70;80;80;150
102;Noeunoeuf;Plante;Psy;Noadkoko;36;60;40;80;60;45;40
103;Noadkoko;Plante;Psy;;;95;95;85;125;75;55
104;Osselait;Sol;;Ossatueur;28;50;50;95;40;50;35
105;Ossatueur;Sol;;;10;60;80;110;50;80;45
106;Kicklee;Combat;;Tygnon;15;50;120;53;35;110;87
107;Tygnon;Combat;;;;50;105;79;35;110;76
108;Excelangue;Normal;;;;90;55;75;60;75;30
109;Smogo;Poison;;Smogogo;35;40;65;95;60;45;35
110;Smogogo;Poison ;;;;65;90;120;85;70;60
111;Rhinocorne;Roche;Sol;Rhinoféros;42;80;85;95;30;30;25
112;Rhinoféros;Roche;Sol;;;105;130;120;45;45;40
113;Leveinard;Normal;;;;250;5;5;35;105;50
114;Saquedeneu;Plante;;;;65;55;115;100;40;60
115;Kangourex;Normal;;;;105;95;80;40;80;90
116;Hypotrempe;Eau;;Hypocéan;32;30;40;70;70;25;60
117;Hypocéan;Eau;;;;55;65;95;95;45;85
118;Poissirène;Eau;;Poissoroy;33;45;67;60;35;50;63
119;Poissoroy;Eau;;;;80;92;65;65;80;68
120;Stari;Eau;;Staross;36;30;45;55;70;55;85
121;Staross;Eau;Psy;;;60;75;85;100;85;115
122;M. Mime;Psy;Fée;;;40;45;65;100;120;90
123;Insécateur;Insecte ;Vol;;;70;110;80;55;80;105
124;Lippoutou;Glace;Psy;;;65;50;35;115;95;95
125;Élektek;Electrick;;;;65;83;57;95;85;105
126;Magmar;Feu ;;;;65;95;57;100;85;93
127;Scarabrute;Insecte;;;;65;125;100;55;70;85
128;Tauros;Normal;;;;75;100;95;40;70;110
129;Magicarpe;Eau;;Léviator;20;20;10;55;15;20;80
130;Léviator;Eau;Vol;;;95;125;79;60;100;81
131;Lokhlass;Eau;Glace;;;130;85;80;85;95;60
132;Métamorph;Normal;;Métamorph;;48;48;48;48;48;48
133;Évoli;Normal;;Aquali;20;55;55;50;45;65;55
134;Aquali;Eau;;Voltali;40;130;65;60;110;95;65
135;Voltali;Electrick;;;;65;65;60;110;95;130
136;Pyroli;Feu;;;10;65;130;60;95;110;65
137;Porygon;Normal;;;10;65;60;70;85;75;40
138;Amonita;Roche;Eau;Amonistar;40;35;40;100;90;55;35
139;Amonistar;Roche;Eau;;;70;60;125;115;70;55
140;Kabuto;Roche;Eau;Kabutops;40;30;80;90;55;45;55
141;Kabutops;Roche;Eau;;;60;115;105;65;70;80
142;Ptéra;Roche;Vol;;;80;105;65;60;75;130
143;Ronflex;Normal ;;;;160;110;65;65;110;30
144;Artikodin;Glace;Vol;;;90;85;100;95;125;85
145;Électhor;Electrik;Vol;;;90;90;85;125;90;100
146;Sulfura;Feu ;Vol;;;90;100;90;125;85;90
147;Minidraco;Dragon;;Draco;30;41;64;45;50;50;50
148;Draco;Dragon;;Dracolosse;55;61;84;65;70;70;70
149;Dracolosse;Dragon;Vol;;;91;134;95;100;100;80
150;Mewtwo;Psy;;;;106;110;90;154;90;130
151;Mew;Psy;;;;100;100;100;100;100;100
